Hardware Angel,+(91)-9152709240,4.2,1000,"Shop No 3,4,5  Prime Location, Tagore Road, Rajkot - 360002, Opposite Krishna Corner",,"Hardware Shops,"
Shree Ram Hardware & Sanita..,+(91)-7567493500,4.6,1000,"Rajmandir Complex, Kuwadva Road, Greenland Chowk, Rajkot - 360003, Near Sadguru Ashram",,"Hardware Shops,"
Chetan Hardware Stores,+(91)-9152583694,4.5,1000,"Canal Main Road, Canal Road, Rajkot - 360002, Near Dena Bank",,"Hardware Shops,"
Wood Leaf Interiors,+(91)-9152650014,5.0,1000,"Opposite maruti suzuki showroom, Tagore Road, Rajkot - 360002",,"Hardware Shops,"
Chamunda Ply And Hardware,+(91)-9152162583,3.5,1000,"Near Raj Bank, Shaktni Nagar, Mavdi Main Road, Rajkot - 360004",,"Hardware Shops,"
Redline Hardware Products,+(91)-9152451876,4.8,1000,"Bhojalram, 1-Ramnagar, Diamond Street, Kotharia, Rajkot - 360002, Near Kothariya Chokdi",,"Hardware Manufacturers,"
Vishweshwar Hardware & Plyw..,+(91)-9824735617,4.2,1000,"Dwarkesh Apartment, Shop No 8, Ground Floor,, Nana Mava Main Road, Rajkot - 360005, Near Sastri Nagar Telephone Exchange,",,"Hardware Shops,"
Aricon Studio LLP,+(91)-8866775599,4.9,1000,"Beside Vraj Hospital, Opposite Bank Of Baroda, 150 Feet Ring Road, Rajkot - 360005, Near Balaji Hall",,"Hardware Shops,"
Bajrang Enterprise,+(91)-7817838180,5.0,1000,"Mavdi By Pass Road, Khodiyar Industrial Area, Street No 1, Morbi Road, Rajkot - 360004, Opp.raghvirpan",,"Hardware Manufacturers,"
Uttam Hardware,+(91)-9377845145,4.5,1000,"Shop No G-1 Krishna Complex-3, Nana Mava Main Road, Rajkot - 360005, Near Rajnagar Chowk",,"Hardware Shops,"
Ishaan Interior,+(91)-9825217177,3.8,1000,"108, Nakshtra Heights, 150 Feet Ring Road, Rajkot - 360005, Opposite Raiya Telephone Exchange",,"Hardware Shops,"
Patel Steel & Cement,+(91)-0281-2561587,4.1,1000,"Patel Trade Centre Galexy, Park-2 Nr Rangoli Park, Kalavad Road, Rajkot - 360005, Near Kalawad Main Road Mota Mahuva",,"Hardware Shops,"
Shree Ganesh Traders,+(91)-281-2561416,5.0,1000,"Sitaram Park, Kalawad Road, Mota Mava, Rajkot - 360005, Opposite Rangoli Restaurant",,"Hardware Shops,"
Shiv Shakti Steel Corporati..,+(91)-9726666636,2.6,1000,"B/h Prem Mandir, Neel City Club Road, University Road, Rajkot - 360005, Opp AG Staff Quarters, Ruda 2 Society",,"Hardware Shops,"
Vraj Hardware & Sanitary,+(91)-9824230204,5.0,1000,"G-12, Turnning Point Complex, Opp, Rakshit Silection, University Road, Rajkot - 360005, Pushkardham Main Road",,"Hardware Shops,"
Mahadev Industries,+(91)-9824249577,4.0,1000,"5, Gokuldham, Rajkot - 360004, Gokul Nagar",,"Hardware Shops,"
Mahalaxmi Electric & Hardwa..,+(91)-9033152451,3.0,1000,"Kalawad Road, Jay Bhim Nagar, Nana Mava, Rajkot - 360005",,"Hardware Shops,"
Suryavandan Harware,+(91)-9726148407,0.0,1000,"Nana Mava Road, Nana Mava, Rajkot - 360005, Opposite Matrix Tower",,"Hardware Shops,"
Savla Engineering,+(91)-281-2783476,0.0,1000,"B-6/401, Sadguru Colony, Kalavad Road, Rajkot - 360005, A G Chowk",,"Hardware Shops,"
